College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[Barnard College](https://barnard.edu/news/student-vaccination-requirement-fall-2021)@@Barnard College,19-Apr-21,Private,NY,✓,--,✓,--,--,D
[Bastyr University](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Bastyr University,20-Aug-21,Private,WA,✓,--,--,--,--,D
[Bates College](https://www.bates.edu/academic-year-2020-21/2021/05/11/covid-19-vaccination-requirements-for-fall-2021-semester/)@@Bates College,11-May-21,Private,ME,--,--,✓,--,--,D
[Bates Technical College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Bates Technical College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Baton Rouge Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Baton Rouge Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Bay Path University](https://www.baypath.edu/about/the-path-forward/june-4-upload-your-covid-vaccination-card-instructions/)@@Bay Path University,4-Jun-21,Private,MA,✓,--,✓,--,✓,D
[Bellarmine University](https://www.bellarmine.edu/welcome-back/)@@Bellarmine University,--,Private,KY,✓,--,✓,--,--,R
[Bellevue College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Bellevue College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Bellingham Technical College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Bellingham Technical College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Beloit College](https://www.beloit.edu/live/blurbs/1071-community-care-college-is-requiring-vaccines-for)@@Beloit College,21-May-21,Private,WI,✓,--,✓,--,--,D
[Benedictine University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Benedictine University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Bennett College](https://www.bennett.edu/bc/back-to-bennett-fall-2021/)@@Bennett College,--,Private,NC,--,--,✓,--,--,R
[Bennington College](https://www.bennington.edu/news-and-features/planning-fall-covid-vaccinations)@@Bennington College,16-Apr-21,Private,VT,--,--,✓,--,--,D
[Bentley University](https://www.bentley.edu/news/COVID-19-vaccination-requirements)@@Bentley University,17-May-21,Private,MA,✓,--,✓,--,✓,D
[Berea College](https://www.courier-journal.com/story/news/local/2021/05/03/covid-19-vaccines-berea-college-kentucky-require-students-shots/4871589001/?gnt-cfr=1)@@Berea College,29-Apr-21,Private,KY,--,--,✓,--,--,R
[Berkeley City College](https://safe.peralta.edu/updates/campusstatus8-3-21)@@Berkeley City College,5-Aug-21,Public,CA,✓,--,✓,--,--,D
[Berklee College of Music](https://www.berklee.edu/berklee-now/news/berklee-to-require-students-to-be-fully-vaccinated-against-covid-19-ahead-of-fall-2021-semester)@@Berklee College of Music,28-Apr-21,Private,MA,✓,--,✓,--,--,D
[Berkshire Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Berkshire Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[Bethany College](https://www.bethanywv.edu/about-bethany/bethany-college-requiring-students-to-get-covid-19-vaccination/)@@Bethany College,23-Jun-21,Private,WV,--,--,✓,--,--,R
[Bexley Hall Seabury Western Theological Seminary Federation](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Bexley Hall Seabury Western Theological Seminary Federation,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Big Bend Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Big Bend Community College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Binghamton University](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Binghamton University,10-May-21,Public,NY,✓,--,✓,--,--,D
[Black Hawk College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Black Hawk College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Blackburn College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Blackburn College,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Blessing Rieman College of Nursing and Health Sciences](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Blessing Rieman College of Nursing and Health Sciences,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Bossier Parish Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Bossier Parish Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
