College,Announce date,Type,State  ^Color denotes 2020 presidential result^,All employees  ^(Vaccination required)^,Some employees<sup>1</sup> ^(Vaccination required)^,All students  ^(Vaccination required)^,Only residential students  ^(Vaccination required)^,Booster required?,state_pol
[Davidson College](https://www.davidson.edu/fall-2021-spring-2022/community-messages/august-2021#section-13445)@@Davidson College,26-Aug-21,Private,NC,✓,--,✓,--,✓,R
[De Anza College](https://go.boarddocs.com/ca/fhda/Board.nsf/files/C5BVBY800409/$file/Draft_BP%203507%20COVID-19%20Vaccination%20Interim%20Policy_new.pdf)@@De Anza College,--,Public,CA,✓,--,✓,--,--,D
[Dean College](https://www.dean.edu/covid-19/fall-semester-2021/)@@Dean College,--,Private,MA,✓,--,✓,--,--,D
[Delaware College of Art and Design](https://dcad.edu/coronavirus/)@@Delaware College of Art and Design,--,Private,DE,✓,--,✓,--,--,D
[Delaware County Community College](https://www.dccc.edu/vaccine-info)@@Delaware County Community College,--,Public,PA,✓,--,✓,--,--,D
[Delaware State University](https://www.desu.edu/student-life/campus-health-services/coronavirus/covid-vaccine-updates)@@Delaware State University,--,Public,DE,--,--,✓,--,--,D
[Delgado Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Delgado Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Denison University](https://denison.edu/campus/covid19/wh/142559)@@Denison University,24-May-21,Private,OH,--,--,✓,--,--,R
[DePaul University](https://resources.depaul.edu/coronavirus/updates/Pages/4-21-student-vaccine-update.aspx)@@DePaul University,21-Apr-21,Private,IL,✓,--,✓,--,--,D
[DePauw University](https://www.depauw.edu/coronavirus/qa-about-covid-19/#fall2021)@@DePauw University,26-Apr-21,Private,IN,--,--,✓,--,--,R
[DeVry University in Illinois](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@DeVry University in Illinois,26-Aug-21,For-profit,IL,✓,--,✓,--,--,D
[Dickinson College](https://www.dickinson.edu/info/20043/about/4094/dickinson_college_updates_on_spring_2021/23)@@Dickinson College,30-Apr-21,Private,PA,✓,--,✓,--,✓,D
[DigiPen Institute of Technology](https://www.digipen.edu/about/digipen-covid-19-updates)@@DigiPen Institute of Technology,23-Apr-21,For-profit,WA,✓,--,✓,--,--,D
[Dillard University](https://www.dillard.edu/covid-19/fall2021.php)@@Dillard University,--,Private,LA,--,--,✓,--,--,R
[Diné College](https://www.dinecollege.edu/dine-college-students/)@@Diné College,26-Aug-21,Public,AZ,--,--,--,✓,--,D
[Doane University](https://www.doane.edu/covid19-tigers-together)@@Doane University,--,Private,NE,--,--,✓,--,--,R
[Dominican College of Blauvelt](https://www.dc.edu/fall-21-covid-policies/)@@Dominican College of Blauvelt,--,Private,NY,✓,--,✓,--,--,D
[Dominican University](https://www.dom.edu/vaccine-requirement)@@Dominican University,14-May-21,Private,IL,✓,--,✓,--,--,D
[Dominican University of California](https://www.dominican.edu/fall-2021-campus-health-and-safety)@@Dominican University of California,29-Apr-21,Private,CA,--,--,✓,--,--,D
[Drew University](http://www.drew.edu/stories/2021/04/26/drew-university-announces-vaccine-requirement-for-2021-22-academic-year/)@@Drew University,26-Apr-21,Private,NJ,--,--,✓,--,--,D
[Drexel University](https://drexel.edu/coronavirus/health-safety/COVID-19-vaccination/)@@Drexel University,20-Apr-21,Private,PA,✓,--,✓,--,--,D
[Duke University](https://today.duke.edu/2021/04/student-vaccination-requirements-fall-semester)@@Duke University,9-Apr-21,Private,NC,✓,--,✓,--,✓,R
[Duquesne University](https://www.duq.edu/news/releases/covid-19-vaccine-will-be-required-for-all-students-at-duquesne-university)@@Duquesne University,3-Jun-21,Private,PA,✓,--,✓,--,--,D
[Dutchess Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Dutchess Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Earlham College](https://earlham.edu/coronavirus/#latest)@@Earlham College,27-May-21,Private,IN,✓,--,✓,--,--,R
[East Carolina University](https://news.ecu.edu/2021/10/25/federal-contractor-vaccine-mandate/)@@East Carolina University,25-Oct-21,Public,NC,--,✓,--,--,--,R
[East-West University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@East-West University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Eastern Connecticut State University](https://www.ct.edu/covid19#faqs)@@Eastern Connecticut State University,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Eastern Illinois University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Eastern Illinois University,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Eastern Maine Community College](https://www.mccs.me.edu/covid-19/vaccine-protocol/)@@Eastern Maine Community College,12-Aug-21,Public,ME,--,--,✓,--,✓,D
[Eastern Mennonite University](https://emu.edu/coronavirus/vaccination)@@Eastern Mennonite University,--,Private,VA,--,--,✓,--,--,D
[Eastern Nazarene College](https://enc.edu/covid-19-update/covid-19-vaccination-requirements/)@@Eastern Nazarene College,7-Jun-21,Private,MA,--,--,✓,--,--,D
[Eastern Oregon University](https://www.eou.edu/news-press/eou-will-require-covid-19-vaccinations-for-fall-2021/)@@Eastern Oregon University,3-Jun-21,Public,OR,✓,--,✓,--,--,D
[Eastern Washington University](https://inside.ewu.edu/news/featured/ewu-adds-vaccination-requirement/)@@Eastern Washington University,3-Jun-21,Public,WA,✓,--,✓,--,--,D
[Edmonds Community College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Edmonds Community College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Elgin Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Elgin Community College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Elmhurst University](https://www.elmhurst.edu/covid-19-updates/vaccine-requirement-faq/)@@Elmhurst University,--,Private,IL,✓,--,✓,--,--,D
[Elms College](https://www.elms.edu/elms-safe/letter-from-the-president/)@@Elms College,7-May-21,Private,MA,--,--,✓,--,--,D
[Elon University](https://www.elon.edu/u/news/2021/06/17/elon-announces-vaccination-policies-for-2021-2022/)@@Elon University,17-Jun-21,Private,NC,--,--,✓,--,--,R
[Emerson College](https://today.emerson.edu/2021/04/21/update-on-fall-2021-term-planning/)@@Emerson College,21-Apr-21,Private,MA,✓,--,✓,--,✓,D
[Emmanuel College](https://www.emmanuel.edu/forward/announcements/message-from-the-president-concerning-student-vaccinations-for-fall-2021.html)@@Emmanuel College,3-May-21,Private,MA,--,--,✓,--,--,D
[Emory University](https://twitter.com/gregfenves/status/1384176713593094144?s=21)@@Emory University,19-Apr-21,Private,GA,✓,--,✓,--,✓,D
[Endicott College](https://www.endicott.edu/news-events/covid-19-policy-and-procedures)@@Endicott College,29-May-21,Private,MA,✓,--,✓,--,✓,D
[Episcopal Theological Seminary of the Southwest](http://ssw.edu/wp-content/uploads/2021/04/Vaccination-Policy_4_20_21.pdf)@@Episcopal Theological Seminary of the Southwest,20-Apr-21,Private,TX,✓,--,✓,--,--,R
[Erie Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Erie Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Erikson Institute](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Erikson Institute,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Essex County College](https://www.essex.edu/wp-content/uploads/2021/08/FINAL-Restart-Plan-2.0_.pdf)@@Essex County College,3-Aug-21,Public,NJ,✓,--,✓,--,--,D
[Eureka College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Eureka College,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Evergreen State College](https://www.evergreen.edu/news/post/2021/fall-2021-evergreen-requires-covid-19-vaccine)@@Evergreen State College,6-May-21,Public,WA,✓,--,✓,--,--,D
[Fairleigh Dickinson University](https://www.fdu.edu/coronavirus-update/)@@Fairleigh Dickinson University,15-Apr-21,Private,NJ,✓,--,✓,--,--,D
[Faith International University](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Faith International University,20-Aug-21,Private,WA,✓,--,--,--,--,D
[Farmingdale State College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Farmingdale State College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Fashion Institute of Technology](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Fashion Institute of Technology,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Felician University](https://felician.edu/vaccination/)@@Felician University,15-Jul-21,Private,NJ,✓,--,✓,--,--,D
[Finger Lakes Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Finger Lakes Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Fitchburg State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Fitchburg State University,26-Apr-21,Public,MA,--,--,✓,--,--,D
Five Towns College,28-Apr-21,For-profit,NY,✓,--,✓,--,--,D
[Fletcher Technical Community College](https://www.katc.com/news/covering-louisiana/regents-updates-on-louisiana-higher-ed-vaccine-mandates)@@Fletcher Technical Community College,25-Aug-21,Public,LA,--,--,✓,--,--,R
[Folsom Lake College](https://losrios.edu/campus-life/news/los-rios-to-implement-covid-19-vaccine-requirement)@@Folsom Lake College,3-Aug-21,Public,CA,✓,--,✓,--,--,D
[Foothill College](https://go.boarddocs.com/ca/fhda/Board.nsf/files/C5BVBY800409/$file/Draft_BP%203507%20COVID-19%20Vaccination%20Interim%20Policy_new.pdf)@@Foothill College,--,Public,CA,✓,--,✓,--,--,D
[Fordham University](https://bronx.news12.com/fordham-university-to-require-all-students-to-be-vaccinated-by-start-of-fall-semester)@@Fordham University,16-Apr-21,Private,NY,✓,--,✓,--,✓,D
[Fort Lewis College](https://www.fortlewis.edu/life-at-flc/health-safety/coronavirus-covid-19/covid-19-updates/update-details/policy-for-vaccine-requirement)@@Fort Lewis College,15-Apr-21,Public,CO,--,--,✓,--,--,D
[Fox College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Fox College,26-Aug-21,For-profit,IL,✓,--,✓,--,--,D
[Framingham State University](https://www.salemstate.edu/news/fall-2021-semester-covid-19-vaccine-requirement-apr-26-2021)@@Framingham State University,26-Apr-21,Public,MA,--,--,✓,--,--,D
[Franklin & Marshall College](https://www.fandm.edu/pandemicoperations/health-safety/covid-19-vaccine-information)@@Franklin & Marshall College,18-May-21,Private,PA,✓,--,✓,--,✓,D
[Franklin Pierce University](https://www.franklinpierce.edu/Fall_2021/vac-comm.htm)@@Franklin Pierce University,--,Private,NH,--,--,✓,--,--,D
[Fresno Pacific University](https://news.fresno.edu/coronavirus-covid-19-news-and-information)@@Fresno Pacific University,--,Private,CA,--,--,--,✓,--,D
[Frontier Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Frontier Community College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Frostburg State University](https://www.usmd.edu/newsroom/news/2154)@@Frostburg State University,23-Apr-21,Public,MD,✓,--,✓,--,--,D
[Fullerton College](https://noce.edu/wp-content/uploads/2021/08/8.26.2021-COVID-19-Vaccination-Mandate-accessible.pdf)@@Fullerton College,24-Aug-21,Public,CA,✓,--,✓,--,--,D
[Fulton-Montgomery Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Fulton-Montgomery Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Furman University](https://www.furman.edu/furman-focused/campus-communications/june-1-2021/)@@Furman University,1-Jun-21,Private,SC,--,--,✓,--,--,R
[Gallaudet University](https://us3.campaign-archive.com/?u=1f4f6deee1b97fac6e5179a64&id=812895101c)@@Gallaudet University,17-May-21,Private,DC,✓,--,✓,--,--,D
[Garrett-Evangelical Theological Seminary](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Garrett-Evangelical Theological Seminary,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Gateway Community College](https://www.ct.edu/covid19#faqs)@@Gateway Community College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Genesee Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Genesee Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[George Mason University](https://www2.gmu.edu/safe-return-campus/vaccination-policy)@@George Mason University,--,Public,VA,--,--,✓,--,--,D
[George Washington University](https://coronavirus.gwu.edu/important-covid-19-vaccine-update)@@George Washington University,19-Apr-21,Private,DC,✓,--,✓,--,✓,D
[Georgetown University](https://president.georgetown.edu/vaccine-update-for-students-april-2021)@@Georgetown University,14-Apr-21,Private,DC,✓,--,✓,--,✓,D
[Georgia Institute of Technology](http://health.gatech.edu/coronavirus/institute-operations)@@Georgia Institute of Technology,26-Oct-21,Public,GA,--,✓,--,--,--,D
[Georgian Court University](https://georgian.edu/health-services/coronavirus/)@@Georgian Court University,23-Apr-21,Private,NJ,--,--,✓,--,--,D
[Gettysburg College](https://www.gettysburg.edu/opening/messages/20210520-student-vaccinations)@@Gettysburg College,20-May-21,Private,PA,--,--,✓,--,--,D
[Glasgow Caledonian New York College](https://www.gcnyc.com/important-announcement-regarding-trimester-a-2/)@@Glasgow Caledonian New York College,18-Jun-21,Private,NY,✓,--,--,✓,--,D
[Golden Gate University](https://newsroom.ggu.edu/press-releases/mandatory-covid-19-vaccinations/)@@Golden Gate University,17-Jun-21,Private,CA,✓,--,✓,--,--,D
[Golden West College](https://www.cccd.edu/aboutus/novelcoronavirus/index.cfm)@@Golden West College,24-Aug-21,Public,CA,✓,--,✓,--,--,D
[Goldey-Beacom College](https://www.gbc.edu/covid/GeneralFAQ.html)@@Goldey-Beacom College,--,Private,DE,--,--,✓,--,--,D
[Gonzaga University](https://gonzaga.campusesp.com/posts/997)@@Gonzaga University,10-Jun-21,Private,WA,✓,--,✓,--,--,D
[Goshen College](https://www.goshen.edu/emergency/coronavirus/updates-archive/#section-1)@@Goshen College,14-May-21,Private,IN,--,--,✓,--,--,R
[Goucher College](https://www.goucher.edu/return-to-campus/updates/2021-05-14-returning-to-campus-in-the-fall)@@Goucher College,14-May-21,Private,MD,✓,--,✓,--,✓,D
[Governors State University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Governors State University,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Grambling State University](https://www.klfy.com/health/coronavirus/university-of-louisiana-system-will-require-student-covid-19-vaccinations/)@@Grambling State University,23-Aug-21,Public,LA,--,--,✓,--,--,R
[Grand Valley State University](https://www.gvsu.edu/president/messages-40.htm)@@Grand Valley State University,6-Aug-21,Public,MI,✓,--,✓,--,--,D
[Grays Harbor College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Grays Harbor College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Great Basin College](https://www.unlv.edu/news-story/nevada-state-board-health-approves-covid-19-vaccination-requirement-students)@@Great Basin College,20-Aug-21,Public,NV,✓,--,--,--,--,D
[Green River College](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Green River College,20-Aug-21,Public,WA,✓,--,--,--,--,D
[Greenfield Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Greenfield Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[Greenville University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Greenville University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Grinnell College](https://www.grinnell.edu/news/covid-19-vaccination-required-students-beginning-fall-2021)@@Grinnell College,14-Apr-21,Private,IA,✓,--,✓,--,--,R
[Grossmont College](https://www.gcccd.edu/vaccine.html)@@Grossmont College,--,Public,CA,--,--,✓,--,--,D
[Guilford College](https://www.guilford.edu/news/2021/08/guilford-college-covid-19-vaccination-mandate)@@Guilford College,31-Aug-21,Private,NC,✓,--,✓,--,--,R
[Gustavus Adolphus College](https://health.blog.gustavus.edu/2021/05/18/covid-19-policy-changes-student-vaccine-requirement-for-fall-2021/)@@Gustavus Adolphus College,18-May-21,Private,MN,--,--,✓,--,--,D
[Gwynedd Mercy University](https://www.gmercyu.edu/griffins-den/news/covid-19-vaccination-requirement-fall)@@Gwynedd Mercy University,30-Apr-21,Private,PA,✓,--,✓,--,--,D
[Hamilton College](https://www.hamilton.edu/covid19-information/community-notices/p/planning-for-fall-2021/view)@@Hamilton College,26-Apr-21,Private,NY,✓,--,✓,--,--,D
[Hamline University](https://www.hamline.edu/news/2021/07/VaccineUpdate/)@@Hamline University,--,Private,MN,✓,--,✓,--,--,D
[Hampshire College](https://www.hampshire.edu/news/2021/04/22/hampshire-college-will-require-all-students-to-be-vaccinated-for-fall-2021-semester)@@Hampshire College,22-Apr-21,Private,MA,✓,--,✓,--,✓,D
[Hampton University](http://docs.hamptonu.edu/student/20210414123904-13399-new_student_revised_letter.pdf_20210416112456.pdf)@@Hampton University,8-Apr-21,Private,VA,✓,--,✓,--,--,D
[Hartwick College](https://www.hartwick.edu/news/hartwick-college-to-require-covid-19-vaccines-for-fall-2021/)@@Hartwick College,19-May-21,Private,NY,✓,--,✓,--,--,D
[Harvard University](https://www.harvard.edu/president/news/2021/covid-19-updates-and-vaccination-at-harvard/)@@Harvard University,5-May-21,Private,MA,✓,--,✓,--,✓,D
[Harvey Mudd College](https://www.hmc.edu/coronavirus-information/2021/04/19/covid-19-vaccination-policy/)@@Harvey Mudd College,19-Apr-21,Private,CA,✓,--,✓,--,--,D
[Haverford College](https://www.brynmawr.edu/news/message-bico-community-covid-vaccinations-be-required-students-fall-2021)@@Haverford College,28-Apr-21,Private,PA,✓,--,✓,--,✓,D
[Hawaii Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Hawaii Community College,17-May-21,Public,HI,--,--,✓,--,--,D
[Heartland Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Heartland Community College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Hebrew Theological College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Hebrew Theological College,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Heidelberg University](https://www.heidelberg.edu/sites/default/files/10.07.2021%20-%20Heidelberg%20University%20COVID-19%20Mandatory%20Vaccine%20Policy%20Announcement.pdf)@@Heidelberg University,7-Oct-21,Private,OH,✓,--,✓,--,--,R
[Heritage University](https://www.governor.wa.gov/sites/default/files/proclamations/proc_20-12.5.pdf)@@Heritage University,20-Aug-21,Private,WA,✓,--,--,--,--,D
[Herkimer County Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Herkimer County Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Highland Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Highland Community College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Highline College](https://www.highline.edu/covid19/#returnmessage-july)@@Highline College,22-Jul-21,Public,WA,✓,--,✓,--,--,D
[Hilbert College](https://www.hilbert.edu/news/2021/06/21/hilbert-college-announces-vaccination-requirement-for-fall-2021)@@Hilbert College,21-Jun-21,Private,NY,✓,--,✓,--,--,D
[Hobart and William Smith Colleges](https://www2.hws.edu/vaccinations-and-covid-cases/)@@Hobart and William Smith Colleges,23-Aug-21,Private,NY,✓,--,✓,--,✓,D
[Hofstra University](https://www.hofstra.edu/together-again/vaccination.html)@@Hofstra University,10-May-21,Private,NY,✓,--,✓,--,✓,D
[Hollins University](https://hollins.edu/news/hollins-anticipates-the-beginning-of-a-return-to-normal-in-fall-2021/)@@Hollins University,3-May-21,Private,VA,✓,--,✓,--,--,D
[Holy Cross College](https://ndsmcobserver.com/2021/04/holy-cross-college-to-require-covid-19-vaccination-for-student-enrollment-in-2021-2022-academic-year/)@@Holy Cross College,14-Apr-21,Private,IN,--,--,✓,--,--,R
[Holy Family University](https://myemail.constantcontact.com/Update-on-Vaccinations.html?soid=1114009586391&aid=VX1KcLzBubs)@@Holy Family University,--,Private,PA,✓,--,✓,--,--,D
[Holy Names University](https://hnu.edu/news/message-about-coronavirus-prevention-and-preparation-2/)@@Holy Names University,28-Apr-21,Private,CA,✓,--,✓,--,--,D
[Holyoke Community College](https://masscc.org/massachusetts-community-colleges-announce-vaccine-requirement/)@@Holyoke Community College,20-Sep-21,Public,MA,✓,--,✓,--,--,D
[Honolulu Community College](https://www.hawaii.edu/news/2021/05/17/uh-to-require-covid-19-vaccination/)@@Honolulu Community College,17-May-21,Public,HI,--,--,✓,--,--,D
[Hood College](https://www.hood.edu/discover/welcome-home-blazers/communications-updates)@@Hood College,4-Jun-21,Private,MD,✓,--,✓,--,✓,D
[Housatonic Community College](https://www.ct.edu/covid19#faqs)@@Housatonic Community College,25-Jun-21,Public,CT,--,--,✓,--,--,D
[Howard University](https://newsroom.howard.edu/newsroom/static/14406/office-president-update-student-covid-19-vaccination-requirements)@@Howard University,17-May-21,Private,DC,✓,--,✓,--,--,D
[Hudson County Community College](https://www.hccc.edu/community/resources/documents/rtc-vaccine-requirement-090921.pdf)@@Hudson County Community College,--,Public,NJ,✓,--,✓,--,--,D
[Hudson Valley Community College](https://twitter.com/NYGovCuomo/status/1391784406453477383?s=20)@@Hudson Valley Community College,10-May-21,Public,NY,✓,--,✓,--,✓,D
[Humboldt State University](https://www2.calstate.edu/csu-system/news/Pages/CSU-COVID-Vax-Requirement-FDA-Approval.aspx)@@Humboldt State University,22-Apr-21,Public,CA,✓,--,✓,--,--,D
[Husson University](https://www.globenewswire.com/news-release/2021/05/17/2230695/0/en/Husson-University-Takes-Important-Next-Step-in-Protecting-Students-Health.html)@@Husson University,17-May-21,Private,ME,--,--,✓,--,--,D
[Illinois Central College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois Central College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Illinois College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois College,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Illinois College of Optometry](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois College of Optometry,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Illinois Institute of Technology](https://www.iit.edu/reopening)@@Illinois Institute of Technology,21-Jul-21,Private,IL,✓,--,✓,--,--,D
[Illinois State University](https://news.illinoisstate.edu/2021/07/coronavirus-update-july-28-2021-new-face-covering-vaccine-and-testing-requirements/)@@Illinois State University,28-Jul-21,Public,IL,✓,--,✓,--,--,D
[Illinois Valley Community College](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois Valley Community College,26-Aug-21,Public,IL,✓,--,✓,--,--,D
[Illinois Wesleyan University](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Illinois Wesleyan University,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Immaculata University](https://www.immaculata.edu/coronavirus-covid-19-updates/)@@Immaculata University,--,Private,PA,✓,--,✓,--,--,D
[Indiana University at Bloomington](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Bloomington,21-May-21,Public,IN,✓,--,✓,--,--,R
[Indiana University at Fort Wayne](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Fort Wayne,21-May-21,Public,IN,✓,--,✓,--,--,R
[Indiana University at Kokomo](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at Kokomo,21-May-21,Public,IN,✓,--,✓,--,--,R
[Indiana University at South Bend](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University at South Bend,21-May-21,Public,IN,✓,--,✓,--,--,R
[Indiana University-East](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-East,21-May-21,Public,IN,✓,--,✓,--,--,R
[Indiana University-Northwest](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Northwest,21-May-21,Public,IN,✓,--,✓,--,--,R
[Indiana University-Purdue University at Columbus](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Purdue University at Columbus,21-May-21,Public,IN,✓,--,✓,--,--,R
[Indiana University-Purdue University at Indianapolis](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Purdue University at Indianapolis,21-May-21,Public,IN,✓,--,✓,--,--,R
[Indiana University-Southeast](https://www.iu.edu/covid/prevention/covid-19-vaccine.html)@@Indiana University-Southeast,21-May-21,Public,IN,✓,--,✓,--,--,R
[Institute for Clinical Social Work](https://www.illinois.gov/government/executive-orders/executive-order.executive-order-number-20.2021.html)@@Institute for Clinical Social Work,26-Aug-21,Private,IL,✓,--,✓,--,--,D
[Inter American University of Puerto Rico at Aguadilla](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Aguadilla,--,Private,PR,--,--,✓,--,--,null
[Inter American University of Puerto Rico at Arecibo](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Arecibo,--,Private,PR,--,--,✓,--,--,null
[Inter American University of Puerto Rico at Barranquitas](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Barranquitas,--,Private,PR,--,--,✓,--,--,null
[Inter American University of Puerto Rico at Bayamón](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Bayamón,--,Private,PR,--,--,✓,--,--,null
[Inter American University of Puerto Rico at Fajardo](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Fajardo,--,Private,PR,--,--,✓,--,--,null
[Inter American University of Puerto Rico at Guayama](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Guayama,--,Private,PR,--,--,✓,--,--,null
[Inter American University of Puerto Rico at Ponce](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at Ponce,--,Private,PR,--,--,✓,--,--,null
[Inter American University of Puerto Rico at San Germán](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico at San Germán,--,Private,PR,--,--,✓,--,--,null
[Inter American University of Puerto Rico Metropolitan Campus](https://intercentrales3.azurewebsites.net/wp-content/uploads/2021/08/Vaccination-Requirements-for-back-to-school-07292021_02.pdf)@@Inter American University of Puerto Rico Metropolitan Campus,--,Private,PR,--,--,✓,--,--,null
[Ithaca College](https://www.ithaca.edu/news/anticipating-vibrant-fall-2021-ithaca-college)@@Ithaca College,7-Apr-21,Private,NY,--,--,✓,--,--,D
[Jacksonville University](https://www.ju.edu/readytoreturn/subject-vaccination.php)@@Jacksonville University,--,Private,FL,✓,--,--,--,--,R
[James Madison University](http://jmu.imodules.com/controls/email_marketing/view_in_browser.aspx?sid=1591&gid=2&sendId=2516231&ecatid=64&puid=c423e57d-e36a-44e4-9b36-3c269c94adf4)@@James Madison University,27-May-21,Public,VA,--,--,✓,--,--,D
