UNITID_P,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,WEAPON18,DRUG18,LIQUOR18,WEAPON19,DRUG19,LIQUOR19,WEAPON20,DRUG20,LIQUOR20,FILTER18,FILTER19,FILTER20
221607001,Tennessee College of Applied Technology-McMinnville,Main Campus,241 VO-TECH DR,MCMINNVILLE,TN,37110,4,"Public, 2-year",205,64,269,0,0,0,0,0,0,0,0,0,1,1,1
221616001,Tennessee College of Applied Technology-Jackson,Tennessee College of Applied Technology-Jackson,2468 Technology Center Drive,Jackson,TN,38301,4,"Public, 2-year",416,146,562,0,0,0,0,0,0,0,0,0,1,1,1
221616002,Tennessee College of Applied Technology-Jackson,Lexington Extension Campus,230 South Broad Street,Lexington,TN,38351,4,"Public, 2-year",416,146,562,0,0,0,0,0,0,0,0,0,1,1,1
221625001,Tennessee College of Applied Technology-Knoxville,Tennessee College of Applied Technology - Knoxville,1100 LIBERTY ST,KNOXVILLE,TN,37919,4,"Public, 2-year",504,389,893,0,0,0,0,0,0,0,0,0,1,1,1
221634001,Tennessee College of Applied Technology-Whiteville,Whiteville Campus,"1685 Highway 64, P.O. Box 489",WHITEVILLE,TN,38075,4,"Public, 2-year",191,89,280,0,0,0,0,0,0,0,0,0,1,1,1
221634002,Tennessee College of Applied Technology-Whiteville,Brownsville Campus,401 Morgan St,Brownsville,TN,38012,4,"Public, 2-year",191,89,280,0,0,0,0,0,0,0,0,0,1,1,1
221643001,Pellissippi State Community College,Hardin Valley Campus,10915 Hardin Valley Road,KNOXVILLE,TN,379330990,4,"Public, 2-year",4282,5052,9334,0,0,0,0,0,0,0,0,0,1,1,1
221643002,Pellissippi State Community College,Division Street Campus,3435 Division Street,Knoxville,TN,37919,4,"Public, 2-year",4282,5052,9334,0,1,0,0,0,0,0,0,0,1,1,1
221643003,Pellissippi State Community College,Blount County Campus,2731 West Lamar Alexander Parkway,Friendsville,TN,37737,4,"Public, 2-year",4282,5052,9334,0,0,1,0,0,0,0,0,0,1,1,1
221643005,Pellissippi State Community College,Magnolia Avenue Campus,1016 East Magnolia Avenue,Knoxville,TN,37919,4,"Public, 2-year",4282,5052,9334,0,0,0,0,0,0,0,0,0,1,1,1
221643006,Pellissippi State Community College,Strawberry Plains,7201 Strawberry Plains Pike,Knoxville,TN,37914,4,"Public, 2-year",4282,5052,9334,0,0,0,0,0,0,0,0,0,1,1,1
221661001,Southern Adventist University,Southern Adventist University,4881 TAYLOR CIRLE,COLLEGEDALE,TN,373150370,2,"Private nonprofit, 4-year or above",1144,1586,2730,0,2,0,0,0,5,0,1,0,1,1,1
221670001,Southern College of Optometry,Southern College Of Optometry,1245 MADISON AVE,MEMPHIS,TN,381042222,2,"Private nonprofit, 4-year or above",183,355,538,0,0,0,0,0,0,0,0,0,1,1,1
221731001,Tennessee Wesleyan University,Main Campus,204 EAST COLLEGE STREET,ATHENS,TN,37303,2,"Private nonprofit, 4-year or above",408,708,1116,0,0,0,0,2,0,0,0,0,1,1,1
221731002,Tennessee Wesleyan University,West Knoxville Instructional SIte,9845 Cogdill Rd.,Knoxville,TN,37932,2,"Private nonprofit, 4-year or above",408,708,1116,0,0,0,0,0,0,0,0,0,1,1,1
221731003,Tennessee Wesleyan University,Downtown Knoxville Instructional Site,"2001 Laurel Avenue, Suite N-604",Knoxville,TN,37916,2,"Private nonprofit, 4-year or above",408,708,1116,,,,,,,0,0,0,0,0,1
221740001,The University of Tennessee-Chattanooga,"The University of Tennessee, Chattanooga",615 MCCALLIE AVE,CHATTANOOGA,TN,374032598,1,"Public, 4-year or above",4987,6741,11728,1,12,4,0,8,0,0,7,4,1,1,1
221759001,The University of Tennessee-Knoxville,Main Campus,831 Andy Holt Tower,Knoxville,TN,379960180,1,"Public, 4-year or above",14295,16264,30559,0,47,19,5,21,27,4,18,28,1,1,1
221759002,The University of Tennessee-Knoxville,The University of Tennessee Space Institute,411 B. H. Goethert Parkway,Tullahoma,TN,373889700,1,"Public, 4-year or above",14295,16264,30559,0,0,0,0,0,0,0,0,0,1,1,1
221768001,The University of Tennessee-Martin,Main Campus,554 UNIVERSITY ST.,MARTIN,TN,38238,1,"Public, 4-year or above",2712,4405,7117,0,15,3,0,18,14,0,3,0,1,1,1
221768005,The University of Tennessee-Martin,Jackson Center,2046 N. Parkway Rm 223 Mcwherter Bldg,Jackson,TN,38301,1,"Public, 4-year or above",2712,4405,7117,0,0,0,0,0,0,0,0,0,1,1,1
