Representative,Party,State,State abbreviation,Vote
Sherrill,Democratic,New Jersey,NJ,Yea
Simpson,Republican,Idaho,ID,Nay
Sires,Democratic,New Jersey,NJ,Yea
Slotkin,Democratic,Michigan,MI,Yea
Smith (MO),Republican,Missouri,MO,Nay
Smith (NE),Republican,Nebraska,NE,Nay
Smith (NJ),Republican,New Jersey,NJ,Nay
Smith (WA),Democratic,Washington,WA,Yea
Smucker,Republican,Pennsylvania,PA,Nay
Soto,Democratic,Florida,FL,Yea
Spanberger,Democratic,Virginia,VA,Yea
Spartz,Republican,Indiana,IN,Nay
Speier,Democratic,California,CA,Yea
Stansbury,Democratic,New Mexico,NM,Yea
Stanton,Democratic,Arizona,AZ,Yea
Stauber,Republican,Minnesota,MN,Nay
Steel,Republican,California,CA,Nay
Stefanik,Republican,New York,NY,Nay
Steil,Republican,Wisconsin,WI,Nay
Steube,Republican,Florida,FL,Not Voting
Stevens,Democratic,Michigan,MI,Yea
Stewart,Republican,Utah,UT,Nay
Strickland,Democratic,Washington,WA,Yea
Suozzi,Democratic,New York,NY,Yea
Swalwell,Democratic,California,CA,Yea
Takano,Democratic,California,CA,Yea
Taylor,Republican,Texas,TX,Nay
Tenney,Republican,New York,NY,Nay
Thompson (CA),Democratic,California,CA,Yea
Thompson (MS),Democratic,Mississippi,MS,Yea
Thompson (PA),Republican,Pennsylvania,PA,Nay
Tiffany,Republican,Wisconsin,WI,Nay
Timmons,Republican,South Carolina,SC,Nay
Titus,Democratic,Nevada,NV,Yea
Tlaib,Democratic,Michigan,MI,Yea
Tonko,Democratic,New York,NY,Yea
Torres (CA),Democratic,California,CA,Yea
Torres (NY),Democratic,New York,NY,Yea
Trahan,Democratic,Massachusetts,MA,Yea
Trone,Democratic,Maryland,MD,Yea
Turner,Republican,Ohio,OH,Nay
Underwood,Democratic,Illinois,IL,Yea
Upton,Republican,Michigan,MI,Yea
Valadao,Republican,California,CA,Nay
Van Drew,Republican,New Jersey,NJ,Nay
Van Duyne,Republican,Texas,TX,Nay
Vargas,Democratic,California,CA,Yea
Veasey,Democratic,Texas,TX,Yea
Velazquez,Democratic,New York,NY,Yea
Wagner,Republican,Missouri,MO,Nay
Walberg,Republican,Michigan,MI,Nay
Walorski,Republican,Indiana,IN,Nay
Waltz,Republican,Florida,FL,Nay
Wasserman Schultz,Democratic,Florida,FL,Yea
Waters,Democratic,California,CA,Yea
Watson Coleman,Democratic,New Jersey,NJ,Yea
Weber (TX),Republican,Texas,TX,Nay
Webster (FL),Republican,Florida,FL,Nay
Welch,Democratic,Vermont,VT,Yea
Wenstrup,Republican,Ohio,OH,Nay
Westerman,Republican,Arkansas,AR,Nay
Wexton,Democratic,Virginia,VA,Yea
Wild,Democratic,Pennsylvania,PA,Yea
Williams (GA),Democratic,Georgia,GA,Yea
Williams (TX),Republican,Texas,TX,Nay
Wilson (FL),Democratic,Florida,FL,Yea
Wilson (SC),Republican,South Carolina,SC,Nay
Wittman,Republican,Virginia,VA,Nay
Womack,Republican,Arkansas,AR,Nay
Yarmuth,Democratic,Kentucky,KY,Yea
Zeldin,Republican,New York,NY,Nay
